listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
10069929,Bright double room in Berlin,Private room,1,25.0,51671248,Layla,f,2025-01-19 10:43:04+00:00,2025-01-19 10:43:04
26187036,Axel Junior Suite at Axel Hotel Berlin,Hotel room,1,170.0,98159395,,,2025-01-19 10:41:09+00:00,2025-01-19 10:41:09
39248495,Great location with a lot of sunlight,Entire home/apt,3,130.0,43935521,Johannes,f,2025-01-19 10:36:19+00:00,2025-01-19 10:36:19
8676968,Ruhiges Landhauserdgeschoss,Entire home/apt,1,58.0,45572867,Martin,f,2025-01-19 10:31:16+00:00,2025-01-19 10:31:16
41307095,70sqm in Berlin Mitte: Newly furnished apartment,Entire home/apt,7,45.0,18238569,Max,f,2025-01-19 10:23:22+00:00,2025-01-19 10:23:22
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",Entire home/apt,2,141.0,270932564,Ester,f,2025-01-19 10:19:19+00:00,2025-01-19 10:19:19
39492370,"Apartment in Berlin,Lichterfelde West",Entire home/apt,1,69.0,72766229,Oliver,f,2025-01-19 10:13:43+00:00,2025-01-19 10:13:43
13517557,Renovated apartment in the center,Entire home/apt,1,413.0,77631123,Feng,f,2025-01-19 10:07:15+00:00,2025-01-19 10:07:15
44549170,Little gem in the heart of Berlin,Entire home/apt,7,50.0,210979600,Zejna,f,2025-01-19 10:03:23+00:00,2025-01-19 10:03:23
7136371,Spacious and cosy flat in Kreuzberg,Entire home/apt,7,75.0,3410903,Theodor,f,2025-01-19 09:39:47+00:00,2025-01-19 09:39:47
21621006,17m² quiet room in central kreuzberg,Private room,1,29.0,82245405,Klemens,f,2025-01-19 09:26:53+00:00,2025-01-19 09:26:53
19689677,Comfy east side,Entire home/apt,1,50.0,138694757,Jenny,f,2025-01-19 09:26:31+00:00,2025-01-19 09:26:31
46719329,"2-Raum Penthouse, 59 qm, Longstay (1-6 months)",Entire home/apt,29,125.0,210700814,,,2025-01-19 08:54:10+00:00,2025-01-19 08:54:10
22118984,Cosy room to stay,Private room,3,15.0,149151975,Rita,f,2025-01-19 08:39:45+00:00,2025-01-19 08:39:45
11865663,Sonniges Zimmer in cooler 2-er WG,Private room,1,20.0,63252838,Lukas,f,2025-01-19 08:25:35+00:00,2025-01-19 08:25:35
19473299,Cosy room in green area,Private room,1,24.0,21611073,,,2025-01-19 08:21:29+00:00,2025-01-19 08:21:29
9874953,Modern Flat near Potsdamer Platz,Entire home/apt,1,160.0,50814368,Nino,f,2025-01-19 08:07:24+00:00,2025-01-19 08:07:24
44346533,"möbliertes Zimmer, Bad und Küche in Berlin-Mitte",Private room,60,26.0,185127873,Angela,f,2025-01-19 08:03:37+00:00,2025-01-19 08:03:37
52821218,Cosy 3BR 2BTH +A/C +Self Check-In +Street Parking,Entire home/apt,1,119.0,125847915,,,2025-01-19 07:46:01+00:00,2025-01-19 07:46:01
52709676,Berlin Rathenauer Platz,Entire home/apt,2,101.0,332515272,Torsten,f,2025-01-19 07:38:45+00:00,2025-01-19 07:38:45
7341721,"Top location apartment 5, Ostkreuz",Private room,1,40.0,19297176,Danny,f,2025-01-19 07:33:13+00:00,2025-01-19 07:33:13
37584556,Cozy room in Kreuzberg,Private room,3,33.0,78396686,Samira,f,2025-01-19 07:04:54+00:00,2025-01-19 07:04:54
43129947,1 zimmer apartment im Berlin,Entire home/apt,1,17.0,343362459,Rohan,f,2025-01-19 07:03:24+00:00,2025-01-19 07:03:24
40904538,Gemütliches Zimmer im Zentrum Berlins,Private room,3,85.0,42476536,Gesine,f,2025-01-19 07:02:44+00:00,2025-01-19 07:02:44
52292663,1 bedroom Apartment at the heart of Bergmannkiez,Entire home/apt,12,50.0,3776656,Florian,f,2025-01-19 06:45:18+00:00,2025-01-19 06:45:18
32444799,Beautiful room Central Berlin,Private room,4,60.0,183729511,Philipp,f,2025-01-19 06:36:17+00:00,2025-01-19 06:36:17
18358079,calm and nice flat in spandau,Private room,1,35.0,126621397,Samir,f,2025-01-19 06:12:28+00:00,2025-01-19 06:12:28
52377186,NuWave Hotel Berlin - Classic Triple Room,Private room,1,127.0,421557030,,,2025-01-19 06:10:25+00:00,2025-01-19 06:10:25
42033637,Gemütliches Zuhause in Berlin Pankow,Entire home/apt,7,35.0,333116165,Stephanie,f,2025-01-19 05:44:20+00:00,2025-01-19 05:44:20
16465773,Gemütliche Wohnung nähe Schloss Charlottenburg,Entire home/apt,3,99.0,89268468,Renan,f,2025-01-19 05:21:16+00:00,2025-01-19 05:21:16
45068810,Schöne 2-Zimmer Wohnung in Berlin,Entire home/apt,5,33.0,363700882,Maike,f,2025-01-19 05:10:32+00:00,2025-01-19 05:10:32
46719436,"4-Raum Penthouse, 147 qm, Longstay (1-6 months)",Entire home/apt,29,313.0,210700814,,,2025-01-19 04:39:16+00:00,2025-01-19 04:39:16
4929901,Cosy one room apartment in Neukölln (4 people),Entire home/apt,1,35.0,25395752,Vatti,f,2025-01-19 03:21:57+00:00,2025-01-19 03:21:57
43568803,Altbau Studio Oasis in the Heart of Schöneberg,Entire home/apt,5,62.0,35594166,,,2025-01-19 02:18:19+00:00,2025-01-19 02:18:19
6241243,Large sunny room in Kreuzberg,Private room,3,30.0,32052575,Paola,f,2025-01-19 02:09:13+00:00,2025-01-19 02:09:13
43412876,Tolle 2 Zi Wohnung in begehrter Lage,Entire home/apt,90,50.0,345964111,Kristian,f,2025-01-19 02:04:51+00:00,2025-01-19 02:04:51
47534144,Charming  Apartment,Entire home/apt,92,40.0,245134540,,,2025-01-19 01:42:21+00:00,2025-01-19 01:42:21
9297443,Large room in vibrant Sprengelkiez,Private room,8,13.0,48268160,Reini,f,2025-01-19 01:15:38+00:00,2025-01-19 01:15:38
25039925,Charming Apartment near Mauerpark,Entire home/apt,3,110.0,131496623,Alexia,f,2025-01-19 01:14:33+00:00,2025-01-19 01:14:33
35559289,120 qm Apartment w/balcony in beautiful Zehlendorf,Entire home/apt,30,45.0,71365406,Audrey,f,2025-01-19 00:51:08+00:00,2025-01-19 00:51:08
42750190,"Luxurious, sunny and large Coolness in Kreuzberg",Entire home/apt,2,200.0,9139634,Pamela,f,2025-01-19 00:43:34+00:00,2025-01-19 00:43:34
45666076,Lachmannstraße. 3,Entire home/apt,3,99.0,369958333,Andreas,f,2025-01-19 00:36:46+00:00,2025-01-19 00:36:46
8021361,Cheap Room in Berlin,Private room,1,9.0,42350439,Jessy,f,2025-01-19 00:35:49+00:00,2025-01-19 00:35:49
50558596,Chill in Center of the City,Entire home/apt,1,80.0,277979335,Nicolas,f,2025-01-19 00:34:26+00:00,2025-01-19 00:34:26
18893546,cosy and peaceful room in the center of Berlin,Private room,1,43.0,131658946,Valentine,f,2025-01-19 00:25:27+00:00,2025-01-19 00:25:27
7687245,Spacious Berlin City Apartment,Entire home/apt,3,75.0,7775858,Jonas,f,2025-01-18 23:48:06+00:00,2025-01-18 23:48:06
43696722,Renovated Historical Place in Kastanienallee,Private room,5,30.0,57963738,Erguven,f,2025-01-18 23:42:42+00:00,2025-01-18 23:42:42
39519638,"Beautifully furnished , light-flooded apartment",Entire home/apt,93,65.0,43917936,Stefanie,f,2025-01-18 23:42:18+00:00,2025-01-18 23:42:18
23158760,Beautiful and big room with balcony in Neukölln,Private room,2,25.0,112840196,Zoe,f,2025-01-18 23:41:31+00:00,2025-01-18 23:41:31
12625592,Central Berlin Apartment,Entire home/apt,1,60.0,68548589,George,f,2025-01-18 23:19:00+00:00,2025-01-18 23:19:00
22770493,Schöne 1 Zimmer Wohnung in Friedrichshain.,Entire home/apt,7,48.0,141289136,Melouka,f,2025-01-18 23:18:58+00:00,2025-01-18 23:18:58
44219012,Beautiful two-bedroom apartment in Spandau,Entire home/apt,60,45.0,271235180,,,2025-01-18 22:55:10+00:00,2025-01-18 22:55:10
7851334,The room of the rising sun,Private room,4,20.0,41296382,Federico,f,2025-01-18 22:42:35+00:00,2025-01-18 22:42:35
49012266,Extravagant hotel room for 4 central to Subway,Private room,14,66.0,108025548,,,2025-01-18 22:35:01+00:00,2025-01-18 22:35:01
33772661,Dachterrassenwhg im Herzen Berlin-Charlottenburgs,Entire home/apt,91,73.0,215514794,Britta,t,2025-01-18 22:28:15+00:00,2025-01-18 22:28:15
22557460,"Beautiful and cozy room, 10 min from the center",Private room,1,26.0,3208719,Reshef,f,2025-01-18 22:26:42+00:00,2025-01-18 22:26:42
44264891,Dreibettzimmer,Private room,1,70.0,304493323,,,2025-01-18 22:10:48+00:00,2025-01-18 22:10:48
41280697,Fantastic flat in the heart of Prenzlauer Berg,Entire home/apt,60,70.0,42399854,Leni,f,2025-01-18 21:52:04+00:00,2025-01-18 21:52:04
44974395,the bunny nest,Entire home/apt,5,80.0,351093370,Peter,f,2025-01-18 21:39:34+00:00,2025-01-18 21:39:34
1862730,Apartment in Berlin,Entire home/apt,7,40.0,9715630,Annette,f,2025-01-18 21:06:48+00:00,2025-01-18 21:06:48
21410085,Cosy bedroom in Wedding (good connections to city),Private room,4,28.0,123547522,Richard,f,2025-01-18 21:02:03+00:00,2025-01-18 21:02:03
38370141,"Lovely furnitured, calm and light apartment",Entire home/apt,2,129.0,12906416,Charlotte,f,2025-01-18 20:35:27+00:00,2025-01-18 20:35:27
