listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at,hour_partition
14498910,Schönes WG-Zimmer in Moabit,Private room,1,89520978,15.0,2025-01-19 12:54:52+00:00,2025-01-19 12:54:52+00:00,2025-01-19 12:00:00+00:00
2364544,Airbnb Apartment,Entire home/apt,7,4920909,50.0,2025-01-19 12:50:45+00:00,2025-01-19 12:50:45+00:00,2025-01-19 12:00:00+00:00
42571125,Enjoy your stay,Entire home/apt,1,152414341,59.0,2025-01-19 12:45:44+00:00,2025-01-19 12:45:44+00:00,2025-01-19 12:00:00+00:00
43083200,Entspannen im Grünen 🌿🌳,Private room,2,85337726,20.0,2025-01-19 12:41:30+00:00,2025-01-19 12:41:30+00:00,2025-01-19 12:00:00+00:00
48353696,Large rooftop room with bathroom kitchen & terrace,Private room,4,1915791,56.0,2025-01-19 11:52:26+00:00,2025-01-19 11:52:26+00:00,2025-01-19 11:00:00+00:00
42270152,Bei mir kannst du nichts falsch machen!,Entire home/apt,14,335854085,80.0,2025-01-19 11:37:15+00:00,2025-01-19 11:37:15+00:00,2025-01-19 11:00:00+00:00
35824828,Schönes WG-Zimmer am Lietzensee in Charlottenburg.,Entire home/apt,1,86087723,40.0,2025-01-19 11:33:38+00:00,2025-01-19 11:33:38+00:00,2025-01-19 11:00:00+00:00
17993203,Loft in central berlin with south balcony,Private room,14,9110422,69.0,2025-01-19 11:28:12+00:00,2025-01-19 11:28:12+00:00,2025-01-19 11:00:00+00:00
50585895,Beautiful and quiet apartment in Charlottenburg,Entire home/apt,90,2412944,70.0,2025-01-19 11:23:17+00:00,2025-01-19 11:23:17+00:00,2025-01-19 11:00:00+00:00
7824963,Berliner Kiez Wohnung Altbau,Entire home/apt,1,41199304,50.0,2025-01-19 11:21:50+00:00,2025-01-19 11:21:50+00:00,2025-01-19 11:00:00+00:00
42633611,"2-Raum Apartment ""City Nature"", 51 qm",Entire home/apt,15,210700814,211.0,2025-01-19 11:16:22+00:00,2025-01-19 11:16:22+00:00,2025-01-19 11:00:00+00:00
41061299,Schöne Berliner Altbauwohnung in Charlottenburg,Entire home/apt,4,150288766,76.0,2025-01-19 11:15:55+00:00,2025-01-19 11:15:55+00:00,2025-01-19 11:00:00+00:00
40946817,Very cosy & quiet apartment in the city centre,Entire home/apt,6,319033463,120.0,2025-01-19 11:15:53+00:00,2025-01-19 11:15:53+00:00,2025-01-19 11:00:00+00:00
7466821,shared room,Shared room,1,39102959,70.0,2025-01-19 11:15:21+00:00,2025-01-19 11:15:21+00:00,2025-01-19 11:00:00+00:00
4314353,stylish ap. @Xberg with lakeview,Shared room,355,21239469,45.0,2025-01-19 10:57:09+00:00,2025-01-19 10:57:09+00:00,2025-01-19 10:00:00+00:00
51356485,Renovated Family Apartment in Warschauer Straße,Entire home/apt,1,371901575,154.0,2025-01-19 10:56:20+00:00,2025-01-19 10:56:20+00:00,2025-01-19 10:00:00+00:00
23066511,ein schönes Zimmer im Herzen Prenzlbergs,Private room,3,21239559,50.0,2025-01-19 10:50:46+00:00,2025-01-19 10:50:46+00:00,2025-01-19 10:00:00+00:00
9956966,Sweet Bed inside DDRstyle Apartment,Shared room,1,19336587,12.0,2025-01-19 10:50:12+00:00,2025-01-19 10:50:12+00:00,2025-01-19 10:00:00+00:00
42111391,Sunny flat in the heart of Bergmannkiez !,Entire home/apt,6,95407160,55.0,2025-01-19 10:49:16+00:00,2025-01-19 10:49:16+00:00,2025-01-19 10:00:00+00:00
44455843,Cozy room in a charming shared flat,Private room,3,22921735,35.0,2025-01-19 10:45:25+00:00,2025-01-19 10:45:25+00:00,2025-01-19 10:00:00+00:00
10069929,Bright double room in Berlin,Private room,1,51671248,25.0,2025-01-19 10:43:04+00:00,2025-01-19 10:43:04+00:00,2025-01-19 10:00:00+00:00
26187036,Axel Junior Suite at Axel Hotel Berlin,Hotel room,1,98159395,170.0,2025-01-19 10:41:09+00:00,2025-01-19 10:41:09+00:00,2025-01-19 10:00:00+00:00
39248495,Great location with a lot of sunlight,Entire home/apt,3,43935521,130.0,2025-01-19 10:36:19+00:00,2025-01-19 10:36:19+00:00,2025-01-19 10:00:00+00:00
8676968,Ruhiges Landhauserdgeschoss,Entire home/apt,1,45572867,58.0,2025-01-19 10:31:16+00:00,2025-01-19 10:31:16+00:00,2025-01-19 10:00:00+00:00
41307095,70sqm in Berlin Mitte: Newly furnished apartment,Entire home/apt,7,18238569,45.0,2025-01-19 10:23:22+00:00,2025-01-19 10:23:22+00:00,2025-01-19 10:00:00+00:00
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",Entire home/apt,2,270932564,141.0,2025-01-19 10:19:19+00:00,2025-01-19 10:19:19+00:00,2025-01-19 10:00:00+00:00
39492370,"Apartment in Berlin,Lichterfelde West",Entire home/apt,1,72766229,69.0,2025-01-19 10:13:43+00:00,2025-01-19 10:13:43+00:00,2025-01-19 10:00:00+00:00
13517557,Renovated apartment in the center,Entire home/apt,1,77631123,413.0,2025-01-19 10:07:15+00:00,2025-01-19 10:07:15+00:00,2025-01-19 10:00:00+00:00
